Product ID,Product Name,Division,Total_Sales,Total_Units,Total_Cost,Total_Gross_Profit,Gross_Margin(%),Profit_per_Unit,Total_Profit_Contribution,Gross_Profit_Rank,Gross_Margin_Rank,Profitability_Category,Sales_per_Unit,Cost_per_Unit,Cost_Ratio(%),Cost_Heavy,Margin_Poor,Price_Cost_Gap,Markup_on_Cost(%),Pricing_Inefficiencies,Repricing_Flag,Cost_Renegotiation_Flag,Discontinuation_Review_Flag,Recommended_Action
SUG-FUN-75000,Fun Dip,Sugar,12.0,8,7.2,4.8,40.0,0.6,5.14e-05,15,13,Low Sales Low Profit,1.5,0.9,60.0,True,True,0.6,66.66666666666666,False,False,True,True,Discontinuation Review
SUG-SWE-91000,SweeTARTS,Sugar,61.5,41,32.8,28.7,46.66666667,0.7,0.00030714,13,12,Low Sales Low Profit,1.5,0.7999999999999999,53.333333333333336,True,True,0.7000000000000001,87.50000000000001,False,False,True,True,Discontinuation Review
SUG-NER-92000,Nerds,Sugar,15.0,10,8.0,7.0,46.66666667,0.7,7.49e-05,14,12,Low Sales Low Profit,1.5,0.8,53.333333333333336,True,True,0.7,87.49999999999999,False,False,True,True,Discontinuation Review
OTH-KAZ-38000,Kazookles,Other,1205.75,371,1113.0,92.75,7.692307692,0.25,0.000992586,9,14,High Sales Low Margin,3.25,3.0,92.3076923076923,True,True,0.25,8.333333333333332,True,True,True,False,Repricing + Cost Renegotiation
OTH-LIC-15000,Lickable Wallpaper,Other,7860.0,393,3930.0,3930.0,50.0,10.0,0.042057815,6,11,High Sales Low Margin,20.0,10.0,50.0,False,False,10.0,100.0,False,False,False,False,No Immediate Action
OTH-GUM-21000,Wonka Gum,Other,597.5,478,286.8,310.7,52.0,0.65,0.003325029,7,10,High Sales Low Margin,1.25,0.6,48.00000000000001,False,False,0.65,108.33333333333334,False,False,False,False,No Immediate Action
OTH-FIZ-56000,Fizzy Lifting Drinks,Sugar,78.75,21,31.5,47.25,60.0,2.25,0.000505657,11,9,Low Sales Low Profit,3.75,1.5,40.0,False,False,2.25,150.0,False,False,False,False,No Immediate Action
SUG-LAF-25000,Laffy Taffy,Sugar,53.73,27,20.25,33.48,62.31155779,1.24,0.000358294,12,8,Low Sales Low Profit,1.99,0.75,37.68844221105528,False,False,1.24,165.33333333333334,False,False,False,False,No Immediate Action
CHO-MIL-31000,Wonka Bar - Milk Chocolate,Chocolate,26867.75,8267,9424.38,17443.37,64.92307692,2.11,0.186674308,3,7,High Profit High Margin,3.25,1.14,35.07692307692307,False,False,2.1100000000000003,185.08771929824564,False,False,False,False,No Immediate Action
CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,Chocolate,28485.0,7596,9874.8,18610.2,65.33333333,2.45,0.199161412,2,6,High Profit High Margin,3.75,1.2999999999999998,34.666666666666664,False,False,2.45,188.4615384615385,False,False,False,False,No Immediate Action
CHO-FUD-51000,Wonka Bar - Fudge Mallows,Chocolate,24890.4,6914,8296.8,16593.6,66.66666667,2.4,0.177580295,5,5,High Profit High Margin,3.6,1.2,33.33333333333333,False,False,2.4000000000000004,200.00000000000006,False,False,False,False,No Immediate Action
CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,Chocolate,27874.8,7743,8517.3,19357.5,69.44444444,2.5,0.207158818,1,4,High Profit High Margin,3.6,1.0999999999999999,30.555555555555554,False,False,2.5,227.27272727272728,False,False,False,False,No Immediate Action
CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Chocolate,23574.95,6755,6755.0,16819.95,71.34670487,2.49,0.180002633,4,3,High Profit High Margin,3.49,1.0,28.653295128939828,False,False,2.49,249.00000000000003,False,False,False,False,No Immediate Action
SUG-HAI-55000,Hair Toffee,Sugar,76.5,17,17.0,59.5,77.77777778,3.5,0.000636753,10,2,Low Sales Low Profit,4.5,1.0,22.22222222222222,False,False,3.5,350.0,False,False,False,False,No Immediate Action
SUG-EVE-47000,Everlasting Gobstopper,Sugar,130.0,13,26.0,104.0,80.0,8.0,0.00111298,8,1,High Profit High Margin,10.0,2.0,20.0,False,False,8.0,400.0,False,False,False,False,No Immediate Action
