State/Province,Total_Order,Total_Units,Total_Sales,Total_Gross_Profit,Order_Share(%),Unit_Share(%),Revenue_Share(%),Profit_Share(%),Potential_Congestion_Risk
Alabama,53,256,995.11,622.11,0.6199555503567669,0.6622859212500647,0.7018511234336432,0.6657655806546893,Normal Load
Alberta,22,110,530.32,326.3,0.2573400397707334,0.28457598178713717,0.3740347175481401,0.3491975839765076,Normal Load
Arizona,190,862,3587.55,2290.11,2.222482161656334,2.2300408754592023,2.530299160770535,2.4508148300350587,Normal Load
Arkansas,48,240,891.94,588.02,0.5614691776816002,0.6208930511719357,0.6290853182416052,0.6292833690771252,Normal Load
British Columbia,22,81,290.9,198.3,0.2573400397707334,0.20955140477052825,0.20517178181994633,0.21221538738137127,Normal Load
California,1686,7667,27917.4,18479.42,19.721604866066205,19.83494593056346,19.69014335434916,19.776183932844475,High Load
Colorado,140,693,2544.91,1694.63,1.6376184349046672,1.7928286852589643,1.7949251264056363,1.8135479673126236,Normal Load
Connecticut,74,281,980.57,653.83,0.865598315592467,0.7269622807471413,0.6915960608428491,0.6997114812484215,Normal Load
Delaware,80,367,1323.59,861.71,0.935781962802667,0.949448957417085,0.9335280807805527,0.92217912990621,Normal Load
District of Columbia,8,40,142.25,95.85,0.0935781962802667,0.1034821751953226,0.1003289307799497,0.10257612143471727,Normal Load
Florida,319,1379,4804.02,3207.11,3.7314305766756344,3.567547989858747,3.3882755011985517,3.432163847829903,Normal Load
Georgia,151,705,2692.84,1751.32,1.766288454790034,1.823873337817561,1.899260161416378,1.874216097976516,Normal Load
Idaho,18,64,225.25,152.15,0.21055094163060006,0.16557148031251617,0.15886883415243352,0.16282688446835925,Normal Load
Illinois,433,1845,6898.96,4557.68,5.064919873669435,4.773115330884256,4.865836768320856,4.877507951388443,High Load
Indiana,123,578,2002.78,1343.44,1.4387647678091005,1.4953174315724116,1.4125608153776286,1.4377137671388271,Normal Load
Iowa,26,112,400.37,269.96999999999997,0.30412913791086676,0.2897500905469033,0.2823809772679681,0.28891471574053856,Normal Load
Kansas,23,74,263.18,179.22,0.2690373143057668,0.1914420241113468,0.18562086469361802,0.19179647870140876,Normal Load
Kentucky,112,523,1880.63,1242.3700000000001,1.3100947479237337,1.353029440678843,1.326408415414389,1.3295513404992145,Normal Load
Louisiana,38,156,525.21,347.45,0.44449643233126684,0.4035804832617581,0.3704306343405089,0.371831751617032,Normal Load
Maine,7,35,126.48,85.10000000000001,0.08188092174523336,0.09054690329590727,0.08920634913917777,0.09107175726754764,Normal Load
Manitoba,8,40,138.25,90.27,0.0935781962802667,0.1034821751953226,0.09750773061742035,0.09660455380189806,Normal Load
Maryland,80,420,1476.99,997.5699999999999,0.935781962802667,1.0865628395508875,1.041721107013553,1.0675728895110161,Normal Load
Massachusetts,106,491,1806.99,1179.99,1.2399111007135337,1.270243700522585,1.2744701204222235,1.2627939231273035,Normal Load
Michigan,209,946,3331.0,2236.21,2.444730377821968,2.44735344336938,2.349354435346309,2.3931324831875758,Normal Load
Minnesota,75,331,1161.46,779.28,0.8772955901275004,0.8563149997412947,0.8191777851928322,0.833964735645764,Normal Load
Mississippi,43,221,844.1800000000001,557.94,0.5029828050064334,0.5717390179541574,0.5954001883010048,0.5970925528772683,Normal Load
Missouri,56,252,882.83,595.41,0.6550473739618669,0.6519377037305324,0.6226600348714446,0.6371919505836725,Normal Load
Montana,12,56,202.11,135.47,0.14036729442040005,0.14487504527345166,0.1425481912122013,0.14497639197455556,Normal Load
Nebraska,33,136,483.53000000000003,327.89,0.38601005965610014,0.35183939566409683,0.3410337286469531,0.35089915969983776,Normal Load
Nevada,36,168,759.46,469.48,0.4211018832612001,0.4346251358203549,0.5356471688586334,0.5024250129490984,Normal Load
New Brunswick,8,48,172.72,118.72,0.0935781962802667,0.12417861023438714,0.12181942301801696,0.12705098734198889,Normal Load
New Hampshire,26,127,428.27,264.53,0.30412913791086676,0.3285559062451493,0.30205884840161024,0.2830929723852453,Normal Load
New Jersey,108,454,1578.3500000000001,1017.76,1.2633056497836004,1.1745226884669115,1.1132103191320466,1.0891796906770774,Normal Load
New Mexico,34,151,502.71000000000004,335.17,0.39770733419113347,0.39064521136234287,0.35456138342628135,0.3586900221311861,Normal Load
