Metric,Result
Analysis Period,2024-01-02 to 2025-12-31
Company Average Monthly Margin (%),65.91
Company Margin Volatility SD (pp),0.31
Company Minimum Monthly Margin (%),65.39
Company Maximum Monthly Margin (%),66.35
Company Margin Range (pp),0.95
Most Volatile Division,Sugar
Highest Division Volatility SD (pp),11.96
Most Stable Division,Chocolate
Lowest Division Volatility SD (pp),0.16
Product-Level Margin Volatility,Effectively Zero for all products
Overall Margin Stability,Stable at company level
