Order_Month,Monthly_Sales,Monthly_Gross_Profit,Monthly_Gross_Margin(%)
April,8910.66,5878.91,65.97614542581583
August,10217.75,6741.2699999999995,65.97607105282474
December,21234.48,13977.92,65.82652365398164
February,3933.52,2586.14,65.74620187516524
January,5583.0,3694.95,66.18216012896292
July,9923.05,6548.31,65.99089997531003
June,9733.69,6454.61,66.31205637327673
March,9562.14,6259.54,65.46170627077203
May,10507.2,6944.54,66.09315516978833
November,20646.57,13697.97,66.34501517685504
October,12161.87,7953.11,65.39380868238189
September,19369.7,12705.53,65.59487240380595
