Metric,Result
Total Products,15
Total Revenue,141783.63
Product Required for 80% Revenue,5
% Products Required for 80% Revenue,33.33
Actual Revenue Contribution(%),92.88
Total Profit,93442.8
Product Required for 80% Profit,5
% Products Required for 80% Profit,33.33
Actual Profit Contribution(%),95.06
Common Critical Products,5
Name of Common Critical Products,"Wonka Bar -Scrumdiddlyumptious ,Wonka Bar - Triple Dazzle Caramel ,Wonka Bar - Milk Chocolate ,Wonka Bar - Nutty Crunch Surprise ,Wonka Bar - Fudge Mallows"
Critical Products by Divisions,"Chocolate ,Chocolate ,Chocolate ,Chocolate ,Chocolate"
