Product ID,Product Name,Division,Total_Sales,Total_Units,Total_Cost,Total_Gross_Profit,Gross_Margin(%),Profit_per_Unit,Total_Profit_Contribution
CHO-FUD-51000,Wonka Bar - Fudge Mallows,Chocolate,24890.4,6914,8296.8,16593.6,66.66666667,2.4,0.177580295
CHO-MIL-31000,Wonka Bar - Milk Chocolate,Chocolate,26867.75,8267,9424.38,17443.37,64.92307692,2.11,0.186674308
CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Chocolate,23574.95,6755,6755,16819.95,71.34670487,2.49,0.180002633
CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,Chocolate,27874.8,7743,8517.3,19357.5,69.44444444,2.5,0.207158818
CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,Chocolate,28485,7596,9874.8,18610.2,65.33333333,2.45,0.199161412
OTH-FIZ-56000,Fizzy Lifting Drinks,Sugar,78.75,21,31.5,47.25,60,2.25,0.000505657
OTH-GUM-21000,Wonka Gum,Other,597.5,478,286.8,310.7,52,0.65,0.003325029
OTH-KAZ-38000,Kazookles,Other,1205.75,371,1113,92.75,7.692307692,0.25,0.000992586
OTH-LIC-15000,Lickable Wallpaper,Other,7860,393,3930,3930,50,10,0.042057815
SUG-EVE-47000,Everlasting Gobstopper,Sugar,130,13,26,104,80,8,0.00111298
SUG-FUN-75000,Fun Dip,Sugar,12,8,7.2,4.8,40,0.6,5.14E-05
SUG-HAI-55000,Hair Toffee,Sugar,76.5,17,17,59.5,77.77777778,3.5,0.000636753
SUG-LAF-25000,Laffy Taffy,Sugar,53.73,27,20.25,33.48,62.31155779,1.24,0.000358294
SUG-NER-92000,Nerds,Sugar,15,10,8,7,46.66666667,0.7,7.49E-05
SUG-SWE-91000,SweeTARTS,Sugar,61.5,41,32.8,28.7,46.66666667,0.7,0.00030714
